 1 ,    50000 ,  22.35
 1 ,   100000 ,  22.58
 1 ,   500000 ,  22.41
 2 ,    50000 ,  39.78
 2 ,   100000 ,  43.27
 2 ,   500000 ,  43.68
 4 ,    50000 ,  75.98
 4 ,   100000 ,  78.80
 4 ,   500000 ,  83.98
 6 ,    50000 ,  90.90
 6 ,   100000 ,  96.33
 6 ,   500000 , 124.56
 8 ,    50000 ,  80.91
 8 ,   100000 , 131.94
 8 ,   500000 , 164.96
